,customer_id,customer_name,customer_gender,customer_birthdate,kids_home,teens_home,number_complaints,distinct_stores_visited,lifetime_spend_groceries,lifetime_spend_electronics,typical_hour,lifetime_spend_vegetables,lifetime_spend_nonalcohol_drinks,lifetime_spend_alcohol_drinks,lifetime_spend_meat,lifetime_spend_fish,lifetime_spend_hygiene,lifetime_spend_videogames,lifetime_spend_petfood,lifetime_total_distinct_products,percentage_of_products_bought_promotion,year_first_transaction,loyalty_card_number,latitude,longitude
0,29930,April Clark,female,01/15/1972 02:27 PM,2.0,2.0,1.0,4.0,7789.0,5601.0,13.0,726.0,962.0,1213.0,1598.0,1894.0,457.0,412.0,428.0,386.0,0.1587407540086244,2018.0,,38.72180742558295,-9.125534125443568
1,6813,Bsc. Paul Ketchum,male,07/31/1944 10:53 AM,0.0,1.0,0.0,4.0,8653.0,35.0,14.0,792.0,102.0,104.0,741.0,346.0,394.0,75.0,226.0,73.0,1.2278904246575113,2013.0,971840.0,38.73466769775911,-9.163532875101112
2,39451,Mary Downing,female,11/13/1989 02:11 PM,2.0,3.0,0.0,7.0,15605.0,4275.0,14.0,1585.0,980.0,1872.0,1323.0,1971.0,920.0,335.0,192.0,319.0,0.1015978902829956,2011.0,,38.787125869796334,-9.147076735912629
3,21557,Manuel Kueny,male,08/09/1976 06:23 AM,0.0,0.0,1.0,1.0,13440.0,16366.0,14.0,28.0,269.0,1855.0,939.0,785.0,139.0,679.0,270.0,221.0,0.25994253757688,2009.0,,38.74181568005572,-9.159700121542556
4,16415,Phd. Curtis Tharp,male,07/11/1966 08:12 AM,1.0,1.0,1.0,5.0,49250.0,3197.0,14.0,258.0,726.0,547.0,983.0,1492.0,1046.0,112.0,144.0,244.0,0.3178217395536035,2012.0,925367.0,38.78592059807184,-9.149221082406518
5,22853,Phd. Nancy Berger,female,03/22/1950 10:13 PM,1.0,1.0,1.0,3.0,26677.0,3412.0,18.0,2064.0,379.0,561.0,2.0,48.0,187.0,177.0,352.0,65.0,0.0713118285621075,2013.0,908702.0,38.77877429384634,-9.175643655036
6,994,Phd. Donna Nicoletti,female,01/30/1967 12:33 PM,1.0,1.0,1.0,2.0,13893.0,593.0,14.0,2184.0,341.0,540.0,29.0,91.0,230.0,254.0,239.0,56.0,0.0803553009991577,2010.0,929774.0,38.78425137539448,-9.193073984967157
7,28952,Roxanne Elder,female,07/19/1993 10:36 AM,1.0,2.0,0.0,3.0,6596.0,434.0,14.0,61.0,157.0,98.0,664.0,353.0,251.0,197.0,186.0,1.0,0.9134030582654192,2018.0,979825.0,38.73091806541798,-9.135005274896049
8,11845,Walter Cooley,male,02/17/1994 03:32 PM,2.0,1.0,2.0,2.0,11575.0,1185.0,9.0,185.0,184.0,610.0,640.0,151.0,18.0,133.0,32.0,77.0,0.2180768504176286,2015.0,953250.0,38.74773549505229,-9.156375581662669
9,25774,Bsc. Alfred Stone,male,07/23/1979 11:35 AM,1.0,1.0,0.0,2.0,55206.0,8900.0,10.0,534.0,336.0,1697.0,1184.0,2347.0,453.0,606.0,285.0,58.0,0.0275124525257368,2014.0,926867.0,38.775931841098895,-9.09902183872982
10,11303,Msc. Brian Weissman,male,05/27/1955 09:08 AM,1.0,2.0,1.0,2.0,23552.0,5704.0,13.0,772.0,526.0,2310.0,1484.0,877.0,638.0,428.0,576.0,317.0,0.1421108273111437,2013.0,981627.0,38.74769313962958,-9.120268715000329
11,24143,Phd. Suzanne Sumner,female,02/05/1953 12:59 AM,0.0,1.0,1.0,1.0,3195.0,5946.0,14.0,40.0,623.0,1014.0,746.0,709.0,440.0,1505.0,251.0,66.0,0.2989636602475992,2015.0,,38.76297812185425,-9.143293265302416
12,29221,Diane Rohe,female,11/04/1969 08:51 AM,1.0,0.0,2.0,1.0,5175.0,2192.0,14.0,1979.0,410.0,487.0,53.0,133.0,630.0,196.0,173.0,114.0,0.0381792157877295,2015.0,,38.77966822470351,-9.19509811112369
13,37216,Sheldon Duane,male,10/19/1984 08:43 PM,0.0,1.0,0.0,1.0,50420.0,8110.0,22.0,232.0,725.0,1262.0,1267.0,1948.0,1175.0,422.0,483.0,141.0,0.1343065378505548,2009.0,,38.73476402839348,-9.187945002869634
14,35596,Amber Parker,female,06/05/1973 05:18 AM,3.0,2.0,1.0,1.0,41263.0,5745.0,7.0,344.0,970.0,2284.0,2193.0,1122.0,1259.0,425.0,401.0,329.0,0.1390969921733265,2014.0,,38.72305407358352,-9.150854998761083
15,13243,Stacey Slater,male,03/09/1956 04:57 AM,1.0,0.0,1.0,4.0,6389.0,759.0,13.0,299.0,94.0,169.0,788.0,343.0,1108.0,240.0,348.0,112.0,1.0748115432654624,2019.0,916554.0,38.74834117327804,-9.141024033291648
16,19854,Kenneth Price,male,06/08/1991 07:25 AM,2.0,1.0,2.0,2.0,7213.0,277.0,7.0,288.0,226.0,315.0,754.0,497.0,637.0,118.0,181.0,77.0,0.7908570635471452,2017.0,,38.74831782366872,-9.15607758861688
17,22743,Msc. David Boggess,male,03/09/1951 04:38 AM,0.0,1.0,0.0,2.0,116515.0,4371.0,22.0,1315.0,516.0,1449.0,1159.0,1599.0,825.0,596.0,486.0,88.0,0.0810881051436366,2010.0,951837.0,38.72387103559583,-9.16984205707767
18,11783,Msc. Dennis Byrd,male,11/08/1984 03:40 AM,2.0,2.0,0.0,6.0,12732.0,4967.0,9.0,480.0,592.0,1473.0,961.0,696.0,978.0,536.0,307.0,360.0,0.1915440410799093,2018.0,942944.0,38.746710131533774,-9.163477071226309
19,17858,Rodolfo Freeman,male,01/13/1997 08:34 AM,3.0,,2.0,3.0,11418.0,1549.0,8.0,280.0,267.0,569.0,451.0,256.0,424.0,68.0,356.0,66.0,0.5346180753355521,2021.0,,38.74763478644825,-9.157128449935067
20,39157,Inez Canales,female,11/26/1975 10:17 PM,1.0,1.0,0.0,5.0,19175.0,202.0,,379.0,119.0,208.0,903.0,135.0,175.0,263.0,188.0,59.0,0.910230504986424,2014.0,,38.75005828350318,-9.187972675002726
21,6849,Bsc. Virgie Graham,female,04/22/1972 08:27 PM,4.0,2.0,0.0,5.0,19440.0,4864.0,12.0,586.0,1100.0,1326.0,2600.0,,1083.0,356.0,211.0,344.0,0.0705779985493305,2010.0,906093.0,38.78421361284012,-9.122369855357883
22,28504,Paulita Biggs,female,02/14/1956 02:13 AM,1.0,1.0,1.0,5.0,39217.0,2254.0,9.0,458.0,429.0,247.0,674.0,641.0,1546.0,479.0,210.0,166.0,0.6015259915402942,2007.0,911252.0,38.73813521444649,-9.1489629904348
23,7243,Phd. Maureen Sommers,female,11/19/1946 06:45 AM,3.0,2.0,2.0,2.0,23179.0,4827.0,10.0,506.0,1213.0,1405.0,863.0,1312.0,809.0,388.0,364.0,389.0,0.3120807282157546,2017.0,913590.0,38.73932958328594,-9.161326549107637
24,1818,Msc. Ricardo Thompson,male,11/09/1967 09:31 AM,1.0,0.0,1.0,1.0,18876.0,869.0,13.0,2112.0,483.0,317.0,34.0,47.0,699.0,235.0,113.0,69.0,0.1280266987056991,2015.0,977968.0,38.737227300062415,-9.19196136012912
25,20841,Bsc. Andrew Laskey,male,11/06/1988 11:03 PM,0.0,0.0,2.0,1.0,37924.0,9808.0,20.0,206.0,277.0,986.0,810.0,1004.0,481.0,938.0,255.0,141.0,0.2768451094854798,2014.0,,38.73734447222108,-9.180394019058747
26,27141,Mark Steinborn,male,09/13/1953 02:12 AM,2.0,2.0,0.0,5.0,41247.0,5478.0,14.0,445.0,476.0,1786.0,1771.0,1166.0,1168.0,336.0,17.0,278.0,0.3183141830846427,2009.0,970625.0,38.74336833832218,-9.12384142557542
27,31744,Cynthia Carpenter,female,07/15/1989 12:05 AM,0.0,1.0,2.0,2.0,28377.0,5071.0,18.0,237.0,329.0,834.0,888.0,370.0,59.0,1014.0,103.0,158.0,0.1311116163542764,2017.0,,38.73805179571775,-9.152276998003613
28,6247,Msc. Leah Yeakley,female,05/17/1943 08:51 PM,0.0,0.0,1.0,4.0,88182.0,2781.0,7.0,206.0,693.0,639.0,984.0,449.0,1951.0,261.0,248.0,313.0,0.1347703927508271,2008.0,919679.0,38.72643123256507,-9.150344994039534
29,4864,Msc. Jennifer Bell,female,04/23/2001 08:29 PM,6.0,2.0,3.0,6.0,13770.0,5849.0,11.0,639.0,442.0,1210.0,1493.0,1452.0,989.0,353.0,71.0,332.0,0.279531616841676,2025.0,915835.0,38.77030986863707,-9.126481443639918
30,33104,Barbara Sloan,female,04/10/1949 05:55 AM,0.0,1.0,3.0,1.0,25743.0,4280.0,9.0,272.0,661.0,1170.0,404.0,1035.0,137.0,1253.0,179.0,110.0,0.230514888504129,2014.0,,38.71902304317709,-9.14624938227396
31,22380,Katie Pickering,female,07/01/1941 04:14 AM,1.0,1.0,0.0,5.0,12503.0,114.0,15.0,1037.0,220.0,220.0,464.0,389.0,52.0,154.0,254.0,54.0,0.5456727684162945,2018.0,928240.0,38.72157535819975,-9.169687792902774
32,732,Bsc. James Kahl,male,07/28/1963 04:50 AM,2.0,2.0,1.0,4.0,5839.0,6197.0,13.0,960.0,371.0,1526.0,1392.0,2249.0,275.0,457.0,222.0,342.0,0.1427886138850178,2018.0,909632.0,38.77175833814945,-9.145995062555407
33,37565,Susan Martell,female,05/09/1993 04:34 PM,1.0,0.0,0.0,5.0,61807.0,1187.0,9.0,404.0,619.0,604.0,939.0,1313.0,1637.0,273.0,445.0,285.0,0.7957283263271324,2017.0,,38.73308769054313,-9.174830963470257
34,22169,Msc. Donna Mann,female,12/31/1948 02:30 AM,1.0,2.0,2.0,4.0,15875.0,3315.0,17.0,1267.0,726.0,229.0,1545.0,1241.0,1035.0,284.0,271.0,378.0,0.0012782086644095,2016.0,922305.0,38.767606594879936,-9.126024848341348
35,21785,Gary Peck,male,01/09/1996 08:41 PM,2.0,1.0,2.0,2.0,8621.0,585.0,13.0,193.0,211.0,167.0,451.0,295.0,375.0,97.0,209.0,36.0,0.58537674181036,2016.0,,38.74812176404877,-9.156088086147026
36,2327,Phd. Russell Lee,male,05/11/1995 12:23 AM,2.0,1.0,2.0,2.0,9541.0,1904.0,9.0,282.0,381.0,682.0,837.0,507.0,275.0,29.0,296.0,84.0,0.8387386768809704,2018.0,961126.0,38.74760228136846,-9.15673007680772
37,1026,Bsc. Laurie Hochstetler,female,04/05/1976 04:19 AM,0.0,0.0,2.0,2.0,22280.0,6244.0,15.0,205.0,712.0,755.0,648.0,1577.0,34.0,736.0,165.0,64.0,0.2389568079014855,2015.0,946135.0,38.73489254261894,-9.171533202034102
38,15291,Bsc. Alyssa Cantwell,female,09/05/1967 12:20 PM,,1.0,1.0,4.0,43415.0,5136.0,8.0,522.0,917.0,290.0,1345.0,104.0,1906.0,288.0,350.0,210.0,0.421750589949228,2006.0,927812.0,38.7855697782428,-9.173635611076326
39,12996,Vicki Reynolds,female,02/27/1995 07:24 PM,2.0,1.0,2.0,2.0,11055.0,863.0,8.0,134.0,237.0,597.0,401.0,817.0,378.0,126.0,425.0,36.0,0.395743858263995,2013.0,974060.0,38.74846131544912,-9.156725114206802
40,22279,Msc. Carmen Webb,female,12/18/1976 09:46 AM,0.0,,1.0,2.0,34432.0,10819.0,20.0,151.0,238.0,817.0,902.0,1004.0,86.0,875.0,304.0,109.0,0.1500612544874975,2015.0,,38.77508296902853,-9.188232373400082
41,20588,Msc. Laura Garcia,female,09/14/1954 08:15 AM,0.0,1.0,2.0,2.0,3667.0,19371.0,18.0,22.0,743.0,1067.0,909.0,573.0,587.0,834.0,460.0,115.0,0.1252208117731597,2021.0,,38.72453806929826,-9.197255798796268
42,36763,Jolene Jameson,female,04/05/1947 02:39 PM,2.0,2.0,1.0,3.0,23139.0,5995.0,12.0,366.0,618.0,1845.0,1258.0,1759.0,440.0,418.0,464.0,197.0,0.1974667173297495,2011.0,,38.75299744700104,-9.136570707723234
43,7209,Phd. Amy Isacs,female,03/06/1963 11:35 PM,5.0,2.0,0.0,1.0,13211.0,3505.0,8.0,194.0,943.0,448.0,1223.0,2158.0,825.0,468.0,434.0,328.0,0.1494557544008712,2010.0,967595.0,38.73658583102454,-9.172685532561562
44,7272,Phd. Era Kuznicki,female,11/15/1997 04:32 PM,1.0,1.0,0.0,1.0,7365.0,2996.0,19.0,1778.0,501.0,495.0,33.0,5.0,507.0,285.0,146.0,90.0,0.0613762594767788,2021.0,924094.0,38.73980579592222,-9.152623699092244
45,32875,Tina Kipp,female,02/14/1953 10:31 AM,1.0,0.0,0.0,2.0,1802.0,1777.0,14.0,1838.0,296.0,466.0,41.0,132.0,769.0,137.0,73.0,133.0,0.0657607445068314,2016.0,,38.762969441832105,-9.125023170526996
46,26267,Jeannette Heinzen,female,05/21/1941 06:51 AM,2.0,2.0,0.0,1.0,23904.0,3581.0,10.0,658.0,380.0,1890.0,1139.0,1589.0,1129.0,440.0,354.0,417.0,0.2754265028395866,2007.0,936859.0,38.74695560615075,-9.193555746651514
47,10438,Phd. Teri Carmona,female,10/24/1944 07:04 AM,4.0,2.0,3.0,3.0,33321.0,5300.0,10.0,759.0,606.0,1865.0,1638.0,1013.0,1563.0,568.0,344.0,353.0,0.3242318563215632,2011.0,973694.0,38.78221397742598,-9.144285737881956
48,21417,Karen Allen,female,03/07/2001 01:58 AM,0.0,1.0,,5.0,13515.0,822.0,11.0,563.0,132.0,204.0,880.0,92.0,78.0,71.0,302.0,57.0,0.9075685847522832,2025.0,942981.0,38.7278204697917,-9.128090140106906
49,29181,Kim Evans,female,04/12/1940 09:21 PM,0.0,0.0,2.0,1.0,27434.0,9863.0,,169.0,351.0,1195.0,862.0,717.0,178.0,1038.0,232.0,113.0,0.1779065044625597,2017.0,,38.71975937446504,-9.145675811114591
50,386,Msc. Heidi Sinclair,female,02/02/1956 09:27 PM,1.0,2.0,,4.0,76044.0,85.0,6.0,154.0,598.0,539.0,1065.0,881.0,1126.0,222.0,343.0,106.0,0.5037233951078552,2010.0,976666.0,38.71880266323246,-9.191387161109214
51,39780,Amy Nash,female,,1.0,0.0,1.0,4.0,28965.0,6611.0,13.0,299.0,771.0,503.0,917.0,891.0,1493.0,311.0,451.0,299.0,0.5107661109588167,2013.0,,38.7808495260528,-9.178525932195988
52,22009,Kathy Westman,female,07/22/1991 12:30 AM,2.0,1.0,2.0,3.0,12433.0,981.0,9.0,199.0,147.0,896.0,466.0,909.0,382.0,91.0,187.0,60.0,1.0263127350886665,2013.0,,38.74855067908054,-9.156634366926747
53,10247,Phyllis Martinez,female,11/28/1995 04:45 AM,2.0,0.0,2.0,2.0,6403.0,26.0,10.0,48.0,350.0,,371.0,74.0,750.0,100.0,286.0,80.0,-0.2488689791978553,2017.0,991183.0,38.74872776222867,-9.155625092074926
54,26516,Mark Byrant,male,03/13/1982 10:18 PM,1.0,0.0,1.0,7.0,9220.0,12.0,18.0,140.0,131.0,114.0,1376.0,127.0,371.0,297.0,599.0,56.0,0.8840595666026833,2008.0,911667.0,38.7666919115506,-9.183215619410738
55,26744,Taylor Marsh,male,09/28/1971 02:36 PM,1.0,2.0,2.0,2.0,59993.0,5340.0,16.0,318.0,876.0,920.0,798.0,1043.0,1699.0,87.0,280.0,229.0,0.2389259916739601,2011.0,987721.0,38.74462319281223,-9.145525577426715
56,37593,Randy Brown,male,08/29/1996 06:17 AM,3.0,2.0,1.0,7.0,27013.0,5422.0,9.0,,887.0,2301.0,1546.0,1323.0,90.0,351.0,500.0,577.0,0.2005525404764374,2020.0,,38.76967237780784,-9.150972977153708
57,25965,Bsc. Jason Bryant,male,05/29/1940 11:25 AM,0.0,1.0,1.0,2.0,6079.0,1095.0,9.0,53.0,709.0,1350.0,862.0,722.0,354.0,774.0,393.0,10.0,0.3667946410836178,2016.0,,38.767007501491854,-9.201479164312651
58,2196,Phd. Zachary Morris,male,10/14/1952 10:14 AM,3.0,3.0,,4.0,16557.0,4259.0,12.0,794.0,835.0,1807.0,1680.0,893.0,185.0,600.0,375.0,290.0,0.1323128674901705,2009.0,971516.0,38.716720886997344,-9.1591556791491
59,12775,Adam Bauer,male,03/04/1950 07:03 PM,2.0,1.0,0.0,3.0,15289.0,321.0,23.0,511.0,76.0,146.0,1065.0,114.0,424.0,163.0,233.0,98.0,0.9577378338887536,2010.0,925475.0,38.76757378746159,-9.194686164384096
60,5452,Phd. Brenda Merkel,female,04/15/1985 09:49 PM,,0.0,1.0,2.0,5049.0,19449.0,9.0,596.0,578.0,682.0,714.0,1871.0,1034.0,197.0,202.0,454.0,0.5200502161874373,2013.0,925988.0,38.72278875078968,-9.123627362695007
61,14798,Bsc. Grace Marshall,female,04/09/1962 10:44 PM,0.0,0.0,1.0,1.0,49126.0,909.0,19.0,369.0,223.0,,1001.0,634.0,1093.0,692.0,638.0,34.0,0.95367616916389,2015.0,,38.71589966639112,-9.183087810874
62,27848,Bsc. Troy Pezzuti,male,05/04/1946 12:06 AM,1.0,1.0,0.0,2.0,37611.0,9672.0,8.0,774.0,500.0,1703.0,1556.0,1862.0,596.0,639.0,563.0,154.0,-0.0049326278362629,2009.0,961911.0,38.76426579750846,-9.14249544902615
63,1843,Phd. Jason Henderson,male,06/17/1957 06:53 PM,1.0,1.0,1.0,3.0,15385.0,620.0,6.0,606.0,79.0,139.0,547.0,89.0,549.0,257.0,366.0,12.0,0.6827685510997941,2018.0,936517.0,38.70917741763555,-9.138111686699634
64,16063,Msc. Shirley Northcutt,female,09/18/1991 09:35 PM,1.0,1.0,0.0,3.0,45539.0,4277.0,22.0,2148.0,574.0,1896.0,1716.0,2650.0,1339.0,576.0,606.0,174.0,-0.0342815756742616,2011.0,933695.0,38.72801465970208,-9.185066891643626
65,7897,Phd. Marsha Miller,female,05/09/1970 03:00 PM,1.0,0.0,,3.0,27780.0,4169.0,16.0,2190.0,256.0,309.0,66.0,69.0,475.0,104.0,140.0,87.0,0.1657239611922868,2013.0,950752.0,38.74965248902924,-9.187996435988405
66,14927,Phd. Helen Suarez,female,11/14/1946 01:06 PM,,1.0,0.0,3.0,81996.0,6047.0,12.0,1093.0,397.0,1275.0,1544.0,2196.0,238.0,862.0,578.0,199.0,-0.0349833279368171,2019.0,944094.0,38.75242208539563,-9.157000366857178
67,6448,Bsc. Brittany Rockett,female,02/14/1953 10:38 PM,3.0,2.0,1.0,4.0,25212.0,7268.0,10.0,303.0,751.0,1282.0,1040.0,1072.0,404.0,379.0,351.0,85.0,0.3558832290963109,2017.0,940477.0,38.77545035394228,-9.14209262940911
68,23752,Larry Collum,male,02/14/1995 07:02 PM,2.0,2.0,1.0,1.0,26860.0,5135.0,12.0,1381.0,468.0,1604.0,781.0,1224.0,459.0,416.0,352.0,331.0,0.2972332457922199,2015.0,978758.0,38.714207722361685,-9.18080162953529
69,23441,Clarence Garcia,male,04/04/1985 02:01 AM,1.0,1.0,1.0,3.0,11276.0,658.0,9.0,705.0,78.0,,984.0,200.0,256.0,143.0,84.0,96.0,0.7661800706310795,2021.0,905723.0,38.71004742552218,-9.146824679656238
70,35665,Mark Thompson,male,09/07/1986 02:54 AM,1.0,1.0,1.0,1.0,7059.0,1146.0,9.0,2053.0,277.0,566.0,64.0,75.0,1020.0,151.0,275.0,87.0,0.1195293399594049,2014.0,,38.780199690343125,-9.133941171118124
71,1810,Phd. Emma David,female,01/30/1952 09:38 PM,2.0,2.0,0.0,4.0,8671.0,4584.0,13.0,1522.0,675.0,535.0,1474.0,1602.0,255.0,257.0,488.0,246.0,0.2674084174156748,2015.0,912573.0,38.74015385282722,-9.151443660278224
72,14849,Bsc. Jeffrey Wilson,male,11/16/1992 12:01 AM,1.0,1.0,0.0,1.0,69206.0,4219.0,13.0,723.0,726.0,1599.0,1238.0,2504.0,694.0,427.0,267.0,156.0,0.1128314902067884,2015.0,932469.0,38.71541543392159,-9.144180107528886
73,2728,Msc. Steven Greenwell,male,05/19/1950 03:24 PM,,,0.0,6.0,6757.0,5554.0,10.0,565.0,1096.0,1401.0,1664.0,1083.0,608.0,515.0,498.0,434.0,0.1728596093790624,2010.0,901339.0,38.7649900081009,-9.142367509334312
74,296,Msc. Vanessa Costello,female,05/24/1999 12:28 PM,1.0,0.0,0.0,1.0,22198.0,15995.0,9.0,426.0,587.0,278.0,1099.0,,722.0,274.0,417.0,431.0,0.2685225665907047,2023.0,966213.0,38.78055311209624,-9.16484676538189
75,34009,Stephanie Malach,female,04/10/1943 01:31 AM,1.0,1.0,1.0,3.0,30957.0,6205.0,14.0,196.0,668.0,929.0,542.0,726.0,1369.0,78.0,295.0,250.0,0.1176466956193572,2010.0,,38.72841600875463,-9.19581812127514
76,35994,Peter Winston,male,04/26/1961 12:07 PM,5.0,2.0,1.0,1.0,31411.0,6669.0,12.0,1161.0,705.0,1421.0,1246.0,993.0,1113.0,417.0,503.0,131.0,0.1826993264216781,2004.0,,38.71689451228942,-9.16925706966691
77,24587,Randall Brown,male,08/31/1995 03:48 PM,3.0,2.0,0.0,3.0,24831.0,5870.0,13.0,508.0,614.0,1301.0,1500.0,1899.0,1080.0,522.0,331.0,342.0,0.3259456322863868,2016.0,941066.0,38.73551515385175,-9.18872406673642
78,34269,Eric Portis,male,06/07/1972 02:08 PM,0.0,1.0,1.0,5.0,2140.0,511.0,14.0,142.0,86.0,89.0,618.0,60.0,96.0,292.0,381.0,9.0,0.3704501703937725,2021.0,937468.0,38.76816343416829,-9.139235647996356
79,13150,Phd. Sammy Rodriguez,male,08/27/1996 12:10 PM,1.0,1.0,1.0,4.0,28150.0,4858.0,13.0,494.0,584.0,674.0,900.0,,1499.0,195.0,378.0,329.0,0.596186703938468,2020.0,962814.0,38.73927492979824,-9.134650373642652
80,254,Phd. Edna Helems,female,06/24/1942 09:41 PM,1.0,0.0,1.0,3.0,11545.0,1012.0,13.0,2403.0,369.0,421.0,78.0,78.0,585.0,209.0,328.0,36.0,0.0522632351674947,2010.0,949744.0,38.76528376005057,-9.1427243071082
81,25752,Jeremy Cram,male,12/04/1969 04:20 PM,2.0,3.0,1.0,4.0,9944.0,4590.0,10.0,1245.0,975.0,1762.0,1402.0,2119.0,1350.0,533.0,398.0,437.0,0.031628277733801,2012.0,915099.0,38.7472804395456,-9.130652594638883
82,38721,Darla Henderson,female,02/08/1953 01:35 AM,6.0,2.0,0.0,1.0,1110.0,6710.0,6.0,579.0,849.0,876.0,1194.0,1385.0,1624.0,450.0,509.0,501.0,0.2133890997401201,2017.0,,38.72510387923663,-9.166095027002292
83,38092,Andrew Espinoza,male,05/25/1972 06:23 AM,0.0,1.0,1.0,3.0,6620.0,42.0,12.0,261.0,83.0,109.0,917.0,373.0,447.0,222.0,479.0,37.0,0.449392220467506,2010.0,,38.7804667744485,-9.162722631501516
84,13583,Msc. John Stamper,male,03/04/1980 09:14 PM,1.0,0.0,1.0,2.0,18065.0,3067.0,14.0,2084.0,346.0,408.0,88.0,126.0,632.0,157.0,369.0,109.0,0.1039379985132759,2017.0,981351.0,38.786962933752655,-9.15524947063104
85,34266,James Lafleche,male,07/18/1958 03:12 PM,2.0,2.0,1.0,3.0,19247.0,6864.0,,976.0,1071.0,1094.0,1530.0,1345.0,973.0,122.0,586.0,394.0,0.2298389443405349,2016.0,,38.76671492576634,-9.157349676476
86,30802,Tracy Haywood,female,03/21/1996 06:24 AM,2.0,2.0,0.0,2.0,6116.0,4739.0,10.0,290.0,590.0,1497.0,1311.0,1779.0,1513.0,433.0,380.0,546.0,0.1957621107195819,2020.0,,38.76089402873909,-9.165298181417365
87,37533,Crystal Zamora,female,05/18/1971 08:54 PM,1.0,1.0,1.0,2.0,12739.0,269.0,15.0,685.0,175.0,174.0,511.0,416.0,352.0,246.0,483.0,34.0,0.5937401904291325,2018.0,,38.75007907826957,-9.190719489638887
88,3129,Bsc. Richard Zingler,male,11/12/1995 06:02 AM,2.0,1.0,2.0,2.0,13553.0,1531.0,14.0,228.0,170.0,451.0,558.0,382.0,675.0,33.0,78.0,85.0,0.1368750483465901,2019.0,945407.0,38.74815253394019,-9.155637903613709
89,7597,Bsc. Ruth Frazier,female,02/28/1947 02:03 AM,0.0,1.0,0.0,3.0,18513.0,5421.0,9.0,1108.0,501.0,1700.0,1421.0,2220.0,881.0,726.0,181.0,159.0,0.0176446259456256,2010.0,929553.0,38.77538194536095,-9.10047073470411
